"T13_ENG_TypeMatBatBoi_rec","X09x3_FAB_2AGE_reg_rec","X09x3_PRES_2AGE_reg","X09x3_TRANS_NOUR.CROISS_reg_rec","X09x3_MODE_DISTR_CROISS_reg_rec","X09x5_MODIST_5_reg_rec","X12x1_TRP_BAT_4_reg2_rec","X13x4_Pail_Bio_rec","X14x5_PRINJ_PC_reg_rec","T10_PS_EauPres_AmilPail","T13_ENG_AlimAug_Nourr","X12x2_MAT_PC","X03x2_OT_PC_1_rec","X03x2_OT_PC_2_rec","X14x4_PCV2_AGEPRIMO_PC_2","X06x1_gene_majo_2_id2_rec","X11_AG_ID_ABAT_1","X11_AG_ID_ABAT_2","T13_ENG_EauNbPo_1","T13_ENG_EauNbPo_2","T13_ENG_NbPoSal_2","T13_ENG_NbPoSal_4","T01_T_EXT_4","X07x1_AN_CONST4_mean_2","T16_BS_SASLAVABO","X13x2_Betaill_PoSEV","BAT_EXT_PSE","X02x1_AB","LIT_V","LIT_G","LIT_QUAR","Label","clustNaissACP","T13_ENG_SolProp","T13_ENG_milieuDegrad","T13_ENG_EnricPoHorsPail","X02x1_NBDENG_class","X19x1_PCMALLIEU_ENG_1","A03_Pos10sTP","A03_Pos22sTP","A03_Pos10sCo","A03_Pos22sCo","A05_Pos22sGRIPPE","A05_Pos22sGRIPPEReel"
"","","","","","","","","","","","0.0307","","","","","","","","","","","","0.0307","","","","","","","","","","","","","","","","","","","",""
"","","","","","0.0397","","","","","0.0214","","","","","","","","0.003","0.0011","","","","","0.0021","","","","","","","","","","","","","","0.0284","0.0143","0.0469","0.025","",""
"","","","","0.0365","0.0274","","0.0252","","","","","","","0.0193","","","","0.0031","0.004","","","","","0.0374","","","","","","","","","","","","","","0.0011","","0.0099","","",""
"","","","","0.0326","","","","","","0.0413","","","","","","","","","","","","","","","","","","","","0.0204","","","","","","","","","","","","",""
"","","0.0365","0.0326","","","","0.0162","","","","","","","","","","","","","","","","","","","","","","","0.0018","","","","","","","","","0.0172","","0.025","",""
"","0.0397","0.0274","","","","0.0456","0.0248","","","","","","","","","","","","","","","","","","","","","","0.0248","0.004","","0.0274","","","","","","","0.0043","0.0385","0.0049","",""
"","","","","","0.0456","","","","","","","","","","","","","","","","","","","0.0353","","","","","","","","","","","","","","","","","","",""
"","","0.0252","","0.0162","0.0248","","","","","","","","","","","","","","","","","","","","","","","0.002","0.0107","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","0.0029","","","","","","","0.0438","","","","","","","","","","","0.0297","","","","","","0.0091","","0.0114","0.0147","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0222","","","","","","","","","","","","","",""
"","0.0214","","0.0413","","","","","","","","","","","","","","","","","","","","","","","","","","0.0458","0.0068","","0.014","","","","","","","0.0122","","0.0119","",""
"0.0307","","","","","","","","","","","","","","","0.0411","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0175","","","","",""
"","","","","","","","","","","","","","","","","","","0.037","","","","","","","","","","","","","","","","","","","","0.01","","","","",""
"","","0.0193","","","","","","0.0029","","","","","","","","0.0155","0.0096","","","","","","0.0095","","","0.0388","","","","","","","","","","","","0.0058","","","","",""
"","","","","","","","","","","","0.0411","","","","","","","","","","","","","","0.0455","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","0.0155","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","0.0096","","","","","","","","0.0029","","","","0.0062","0.0023","","","","0.0023","","","","","","","","","","","",""
"","0.003","0.0031","","","","","","","","","","","0.037","","","","","","","","","","","","","","","","","","","","","","","","","","0.0035","0.0143","","",""
"","0.0011","0.004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0474","","",""
"","","","","","","","","","","","","","","","","","","","","","","0.029","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","0.0438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","0.0029","","","0.029","","","","","","","","","","0.0118","","","","","","","","","","","","",""
"0.0307","","","","","","","","","","","","","","0.0095","","","","","","","","","","","","0.0172","0.0119","","","","0.0119","","","","","","","","","","","",""
"","0.0021","0.0374","","","","0.0353","","","","","","","","","","","","","","","","","","","","","","","","0.028","","0.0079","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.0455","","","","","","","","","","","","0.028","","","","0.028","","","","","","","0.0396","0.0177","","0.0349","",""
"","","","","","","","","","","","","","","0.0388","","","0.0062","","","","","","0.0172","","","","","0.025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","0.0023","","","","","","0.0119","","0.028","","","0.0034","","","","","","","","","","","","","","",""
"","","","","","","","0.002","","","","","","","","","","","","","","","","","","","0.025","0.0034","","","0.0398","0.0034","","","","","","","","","","","",""
"","","","","","0.0248","","0.0107","","0.0222","0.0458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0204","0.0018","0.004","","","","","0.0068","","","","","","","","","","","","0.0118","","0.028","","","","0.0398","","","","0.0015","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","0.0023","","","","","","0.0119","","0.028","","","0.0034","","","","","","","","","","","","","","",""
"","","","","","0.0274","","","0.0297","","0.014","","","","","","","","","","","","","","0.0079","","","","","","0.0015","","","","","","","0.0294","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0294","","","0.04","","","","","","","",""
"","0.0284","0.0011","","","","","","0.0091","","","","0.0175","0.01","0.0058","","","","","","","","","","","0.0396","","","","","","","","","","","","","","0.0023","","","",""
"","0.0143","","","0.0172","0.0043","","","","","0.0122","","","","","","","","0.0035","","","","","","","0.0177","","","","","","","","","","","","","0.0023","","","","",""
"","0.0469","0.0099","","","0.0385","","","0.0114","","","","","","","","","","0.0143","0.0474","","","","","","","","","","","","","","","","","","","","","","","",""
"","0.025","","","0.025","0.0049","","","0.0147","","0.0119","","","","","","","","","","","","","","","0.0349","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
